courseId,courseCode,courseName,description,credits,departmentId,professorId,status,difficultyLevel,maxEnrollment,semester,year,startTime,endTime,meetingDays,classroom,building,passingGrade,isActive,createdAt
CRS021,BIO101,General Biology,Fundamental biological concepts,4,DEPT_BIO,PROF12349,IN_PROGRESS,BEGINNER,50,Fall,2024,08:00,09:30,"Monday,Wednesday,Friday",Room 320,Biology Building,60.0,true,2024-08-01T14:00:00
CRS022,BIO201,Cell Biology,Cellular structure and function,3,DEPT_BIO,PROF12354,OPEN,INTERMEDIATE,35,Fall,2024,10:00,11:30,"Tuesday,Thursday",Room 425,Biology Building,65.0,true,2024-08-01T14:15:00
CRS023,BIO301,Genetics,Heredity and gene expression,4,DEPT_BIO,PROF12349,OPEN,ADVANCED,28,Fall,2024,13:00,14:30,"Monday,Wednesday,Friday",Room 450,Biology Building,70.0,true,2024-08-01T14:30:00
CRS024,BIO401,Molecular Biology,Molecular mechanisms of life,4,DEPT_BIO,PROF12359,CLOSED,EXPERT,20,Fall,2024,11:00,12:30,"Tuesday,Thursday",Room 235,Biology Building,75.0,true,2024-08-01T14:45:00
CRS025,BIO501,Marine Biology,Ocean life and ecosystems,3,DEPT_BIO,PROF12369,OPEN,ADVANCED,18,Fall,2024,15:00,16:30,"Monday,Wednesday",Room 310,Biology Building,70.0,true,2024-08-01T15:00:00
CRS026,CS103,Web Development,HTML CSS JavaScript and modern frameworks,3,DEPT_CS,PROF12350,OPEN,BEGINNER,28,Spring,2025,09:00,10:30,"Tuesday,Thursday",Room 215,CS Building,60.0,true,2024-08-01T15:15:00
CRS027,CS202,Software Engineering,Software development lifecycle and methodologies,4,DEPT_CS,PROF12350,DRAFT,INTERMEDIATE,25,Spring,2025,11:00,12:30,"Monday,Wednesday,Friday",Room 205,CS Building,65.0,true,2024-08-01T15:30:00
CRS028,CS302,Computer Networks,Network protocols and distributed systems,3,DEPT_CS,PROF12355,DRAFT,ADVANCED,22,Spring,2025,14:00,15:30,"Tuesday,Thursday",Room 401,CS Building,70.0,true,2024-08-01T15:45:00
CRS029,MATH102,Calculus III,Multivariable calculus and vector analysis,4,DEPT_MATH,PROF12346,DRAFT,ADVANCED,28,Spring,2025,08:00,09:30,"Monday,Wednesday,Friday",Room 205,Math Building,70.0,true,2024-08-01T16:00:00
CRS030,ENG202,Dynamics,Motion analysis and kinetics,3,DEPT_ENG,PROF12347,DRAFT,INTERMEDIATE,32,Spring,2025,10:00,11:30,"Tuesday,Thursday",Room 150,Engineering Building,65.0,true,2024-08-01T16:15:00
