gradeId,enrollmentId,studentId,courseId,assignmentType,assignmentName,maxPoints,earnedPoints,percentage,letterGrade,gradeDate,semester,year,professorId,comments,isFinalized,createdAt,updatedAt
GRD015,ENR053,STU123458,CRS001,PARTICIPATION,Class Participation,25,25,100.0,A+,2021-12-18,Fall,2021,PROF12345,Perfect attendance exceptional contributions,true,2021-12-18T15:45:00,2021-12-18T15:45:00
GRD016,ENR054,STU123459,CRS001,MIDTERM,Midterm Exam,100,72,72.0,C-,2023-10-18,Fall,2023,PROF12345,Struggles with object-oriented concepts,true,2023-10-18T14:30:00,2023-10-18T14:30:00
GRD017,ENR054,STU123459,CRS001,ASSIGNMENT,Project 1,75,55,73.3,C,2023-09-12,Fall,2023,PROF12345,Basic functionality but lacks polish,true,2023-09-12T16:20:00,2023-09-12T16:20:00
GRD018,ENR054,STU123459,CRS001,ASSIGNMENT,Project 2,75,58,77.3,C+,2023-10-03,Fall,2023,PROF12345,Slight improvement noted,true,2023-10-03T15:45:00,2023-10-03T15:45:00
GRD019,ENR054,STU123459,CRS001,FINAL,Final Project,200,145,72.5,C-,2023-12-08,Fall,2023,PROF12345,Meets minimum requirements needs more effort,true,2023-12-08T11:30:00,2023-12-08T11:30:00
GRD020,ENR054,STU123459,CRS001,PARTICIPATION,Class Participation,25,18,72.0,C-,2023-12-14,Fall,2023,PROF12345,Inconsistent attendance limited participation,true,2023-12-14T14:20:00,2023-12-14T14:20:00
GRD021,ENR055,STU123460,CRS001,MIDTERM,Midterm Exam,100,81,81.0,B-,2024-03-15,Spring,2024,PROF12345,Good grasp of basic concepts,true,2024-03-15T14:30:00,2024-03-15T14:30:00
GRD022,ENR055,STU123460,CRS001,ASSIGNMENT,Project 1,75,62,82.7,B-,2024-02-20,Spring,2024,PROF12345,Solid work shows understanding,true,2024-02-20T16:20:00,2024-02-20T16:20:00
GRD023,ENR055,STU123460,CRS001,ASSIGNMENT,Project 2,75,64,85.3,B,2024-03-10,Spring,2024,PROF12345,Consistent improvement noted,true,2024-03-10T15:45:00,2024-03-10T15:45:00
GRD024,ENR055,STU123460,CRS001,FINAL,Final Project,200,165,82.5,B-,2024-05-05,Spring,2024,PROF12345,Good effort adequate implementation,true,2024-05-05T11:30:00,2024-05-05T11:30:00
GRD025,ENR055,STU123460,CRS001,PARTICIPATION,Class Participation,25,22,88.0,B+,2024-05-10,Spring,2024,PROF12345,Good attendance active in discussions,true,2024-05-10T12:30:00,2024-05-10T12:30:00
GRD026,ENR001,STU123456,CRS001,ASSIGNMENT,Homework 1,50,48,96.0,A,2024-09-15,Fall,2024,PROF12345,Excellent work clear understanding,false,2024-09-15T16:20:00,2024-09-15T16:20:00
GRD027,ENR001,STU123456,CRS001,ASSIGNMENT,Homework 2,50,46,92.0,A-,2024-10-01,Fall,2024,PROF12345,Very good minor syntax issues,false,2024-10-01T15:45:00,2024-10-01T15:45:00
GRD028,ENR001,STU123456,CRS001,QUIZ,Quiz 1,25,23,92.0,A-,2024-09-25,Fall,2024,PROF12345,Strong performance,false,2024-09-25T10:30:00,2024-09-25T10:30:00
GRD029,ENR002,STU123457,CRS001,ASSIGNMENT,Homework 1,50,42,84.0,B,2024-09-15,Fall,2024,PROF12345,Good effort needs more comments,false,2024-09-15T16:20:00,2024-09-15T16:20:00
GRD030,ENR002,STU123457,CRS001,ASSIGNMENT,Homework 2,50,44,88.0,B+,2024-10-01,Fall,2024,PROF12345,Improvement shown good work,false,2024-10-01T15:45:00,2024-10-01T15:45:00
GRD031,ENR002,STU123457,CRS001,QUIZ,Quiz 1,25,21,84.0,B,2024-09-25,Fall,2024,PROF12345,Adequate understanding,false,2024-09-25T10:30:00,2024-09-25T10:30:00
GRD032,ENR016,STU123471,CRS001,ASSIGNMENT,Homework 1,50,35,70.0,C-,2024-09-15,Fall,2024,PROF12345,Needs more practice with syntax,false,2024-09-15T16:20:00,2024-09-15T16:20:00
GRD033,ENR016,STU123471,CRS001,ASSIGNMENT,Homework 2,50,38,76.0,C+,2024-10-01,Fall,2024,PROF12345,Slight improvement noted,false,2024-10-01T15:45:00,2024-10-01T15:45:00
GRD034,ENR016,STU123471,CRS001,QUIZ,Quiz 1,25,18,72.0,C-,2024-09-25,Fall,2024,PROF12345,Basic understanding needs work,false,2024-09-25T10:30:00,2024-09-25T10:30:00
GRD035,ENR006,STU123461,CRS002,ASSIGNMENT,Lab Assignment 1,40,36,90.0,A-,2024-09-10,Fall,2024,PROF12350,Excellent implementation of data structures,false,2024-09-10T14:15:00,2024-09-10T14:15:00
GRD036,ENR006,STU123461,CRS002,ASSIGNMENT,Lab Assignment 2,40,34,85.0,B,2024-09-25,Fall,2024,PROF12350,Good understanding of algorithms,false,2024-09-25T13:30:00,2024-09-25T13:30:00
GRD037,ENR006,STU123461,CRS002,QUIZ,Data Structures Quiz,30,27,90.0,A-,2024-09-20,Fall,2024,PROF12350,Strong theoretical knowledge,false,2024-09-20T15:45:00,2024-09-20T15:45:00
GRD038,ENR026,STU123481,CRS002,ASSIGNMENT,Lab Assignment 1,40,28,70.0,C-,2024-09-10,Fall,2024,PROF12350,Struggles with linked list implementation,false,2024-09-10T14:15:00,2024-09-10T14:15:00
GRD039,ENR026,STU123481,CRS002,ASSIGNMENT,Lab Assignment 2,40,30,75.0,C,2024-09-25,Fall,2024,PROF12350,Minor improvement seen,false,2024-09-25T13:30:00,2024-09-25T13:30:00
GRD040,ENR026,STU123481,CRS002,QUIZ,Data Structures Quiz,30,20,66.7,D+,2024-09-20,Fall,2024,PROF12350,Needs to review fundamentals,false,2024-09-20T15:45:00,2024-09-20T15:45:00
GRD041,ENR021,STU123476,CRS003,ASSIGNMENT,Algorithm Analysis 1,60,54,90.0,A-,2024-09-12,Fall,2024,PROF12355,Excellent complexity analysis,false,2024-09-12T16:30:00,2024-09-12T16:30:00
GRD042,ENR021,STU123476,CRS003,ASSIGNMENT,Algorithm Design 1,60,52,86.7,B+,2024-09-28,Fall,2024,PROF12355,Creative approach to problem solving,false,2024-09-28T15:20:00,2024-09-28T15:20:00
GRD043,ENR021,STU123476,CRS003,QUIZ,Sorting Algorithms Quiz,35,31,88.6,B+,2024-09-22,Fall,2024,PROF12355,Good understanding of sorting methods,false,2024-09-22T11:45:00,2024-09-22T11:45:00
GRD044,ENR031,STU123486,CRS003,ASSIGNMENT,Algorithm Analysis 1,60,57,95.0,A,2024-09-12,Fall,2024,PROF12355,Outstanding analytical skills,false,2024-09-12T16:30:00,2024-09-12T16:30:00
GRD045,ENR031,STU123486,CRS003,ASSIGNMENT,Algorithm Design 1,60,55,91.7,A-,2024-09-28,Fall,2024,PROF12355,Innovative solution excellent execution,false,2024-09-28T15:20:00,2024-09-28T15:20:00
GRD046,ENR031,STU123486,CRS003,QUIZ,Sorting Algorithms Quiz,35,33,94.3,A,2024-09-22,Fall,2024,PROF12355,Perfect understanding demonstrated,false,2024-09-22T11:45:00,2024-09-22T11:45:00
GRD047,ENR011,STU123466,CRS005,ASSIGNMENT,ML Project 1,80,76,95.0,A,2024-09-18,Fall,2024,PROF12345,Exceptional implementation of neural networks,false,2024-09-18T17:30:00,2024-09-18T17:30:00
GRD048,ENR011,STU123466,CRS005,ASSIGNMENT,Research Paper,70,65,92.9,A-,2024-10-05,Fall,2024,PROF12345,Thorough literature review insightful analysis,false,2024-10-05T14:45:00,2024-10-05T14:45:00
GRD049,ENR036,STU123491,CRS005,ASSIGNMENT,ML Project 1,80,72,90.0,A-,2024-09-18,Fall,2024,PROF12345,Strong technical implementation,false,2024-09-18T17:30:00,2024-09-18T17:30:00
GRD050,ENR036,STU123491,CRS005,ASSIGNMENT,Research Paper,70,68,97.1,A+,2024-10-05,Fall,2024,PROF12345,Outstanding research exceptional writing,false,2024-10-05T14:45:00,2024-10-05T14:45:00
